"","Nfu.Gene.ID","Nfu.Gene.symbol.nfu2015","Nfu.Gene.symbol.garhum"
"1","Nfu_g_1_000001","CU571402.1","CU571402.1"
"2","Nfu_g_1_000002","CACNA1BA","cacna1ba"
"3","Nfu_g_1_000003","CDC42BPA (2 OF 2)","CDC42BPA (2 of 2)"
"4","Nfu_g_1_000004","FZD3A","fzd3a"
"5","Nfu_g_1_000005","CDC42BPA (2 OF 2)","CDC42BPA (2 of 2)"
"6","Nfu_g_1_000006","PLCL1","plcl1"
"7","Nfu_g_1_000007","","BX000430.1"
"8","Nfu_g_1_000008","AMPD3 (1 OF 2)","ampd3a"
"9","Nfu_g_1_000009","POLR3GLB","polr3glb"
"10","Nfu_g_1_000010","TBC1D12 (2 OF 2)","TBC1D12 (2 of 2)"
"11","Nfu_g_1_000011","SLC22A15","SLC22A15"
"12","Nfu_g_1_000012","GRINA","GRINA (1 of 2)"
"13","Nfu_g_1_000013","MALSU1","MALSU1"
"14","Nfu_g_1_000014","SPATC1L",""
"15","Nfu_g_1_000015","GTDC1","gtdc1"
"16","Nfu_g_1_000016","SMPD5","smpd5"
"17","Nfu_g_1_000017","","BX530070.1"
"18","Nfu_g_1_000018","PCON_04198",""
"19","Nfu_g_1_000019","MPP4A","mpp4a"
"20","Nfu_g_1_000020","VTCN1","VTCN1"
"21","Nfu_g_1_000021","KIF5BB","kif5ba"
"22","Nfu_g_1_000022","",""
"23","Nfu_g_1_000023","","si:dkey-285e18.8"
"24","Nfu_g_1_000024","","CR848787.1"
"25","Nfu_g_1_000025","TNIP1","tnip1"
"26","Nfu_g_1_000026","SI:DKEYP-117B11.2","si:dkeyp-117b11.2"
"27","Nfu_g_1_000027","NADL1.1","nadl1.2"
"28","Nfu_g_1_000028","","MNT"
"29","Nfu_g_1_000029","SLC6A2","slc6a2"
"30","Nfu_g_1_000030","IRX5A","irx5a"
"31","Nfu_g_1_000031","OLA.17409","ugt5c1"
"32","Nfu_g_1_000032","",""
"33","Nfu_g_1_000033","DHDH (1 OF 2)","DHDH (2 of 2)"
"34","Nfu_g_1_000034","PKMA","pkma"
"35","Nfu_g_1_000035","TOX3","tox3"
"36","Nfu_g_1_000036","HCN4","hcn4"
